Complaint_No,Weapon_Type
20150108122200,"Personal Weapons (hands,feet,teeth,etc.)"
20150108123806,"Personal Weapons (hands,feet,teeth,etc.)"
20150108132701,"Personal Weapons (hands,feet,teeth,etc.)"
20150108134304,"Personal Weapons (hands,feet,teeth,etc.)"
20150108135300,Not Applicable/None                     
20150108140706,"Personal Weapons (hands,feet,teeth,etc.)"
20150108142000,Not Applicable/None                     
20150108145500,"Personal Weapons (hands,feet,teeth,etc.)"
20150108151807,"Personal Weapons (hands,feet,teeth,etc.)"
20150108155401,Vehicle                                 
20150108155401,"Blunt Object(club,hammer,etc)           "
20150108161401,Unknown/Not Stated                      
20150108161504,"Personal Weapons (hands,feet,teeth,etc.)"
20150108170001,"Personal Weapons (hands,feet,teeth,etc.)"
20150108171302,"Personal Weapons (hands,feet,teeth,etc.)"
20150108185503,"Personal Weapons (hands,feet,teeth,etc.)"
20150108191000,"Personal Weapons (hands,feet,teeth,etc.)"
20150108191600,Other Weapon                            
20150108194800,"Personal Weapons (hands,feet,teeth,etc.)"
20150108200502,"Personal Weapons (hands,feet,teeth,etc.)"
20150108201700,Knife                                   
20150108213903,Handgun                                 
20150108221500,Knife                                   
20150108223502,Handgun                                 
20150108224902,Other Weapon                            
20150108230501,Handgun                                 
20150108231505,Handgun                                 
20150108233002,"Personal Weapons (hands,feet,teeth,etc.)"
20150109000902,"Personal Weapons (hands,feet,teeth,etc.)"
20150109014301,"Personal Weapons (hands,feet,teeth,etc.)"
20150109025203,Other Firearm                           
20150109025203,Undetermined Firearm                    
20150109035000,"Personal Weapons (hands,feet,teeth,etc.)"
20150109042600,"Personal Weapons (hands,feet,teeth,etc.)"
20150109090705,"Personal Weapons (hands,feet,teeth,etc.)"
20150109091605,"Personal Weapons (hands,feet,teeth,etc.)"
20150109094502,"Personal Weapons (hands,feet,teeth,etc.)"
20150109094701,Knife                                   
20150109100701,Not Applicable/None                     
20150109101400,"Personal Weapons (hands,feet,teeth,etc.)"
20150109101507,Not Applicable/None                     
20150109105902,"Personal Weapons (hands,feet,teeth,etc.)"
20150109113800,"Personal Weapons (hands,feet,teeth,etc.)"
20150109114002,"Personal Weapons (hands,feet,teeth,etc.)"
20150109114700,"Personal Weapons (hands,feet,teeth,etc.)"
20150109131905,"Personal Weapons (hands,feet,teeth,etc.)"
20150109133901,"Personal Weapons (hands,feet,teeth,etc.)"
20150109134507,"Personal Weapons (hands,feet,teeth,etc.)"
20150109144200,"Personal Weapons (hands,feet,teeth,etc.)"
20150109144902,"Personal Weapons (hands,feet,teeth,etc.)"
20150109163503,"Personal Weapons (hands,feet,teeth,etc.)"
20150109164800,Handgun                                 
20150109165103,"Personal Weapons (hands,feet,teeth,etc.)"
20150109165801,"Personal Weapons (hands,feet,teeth,etc.)"
20150109170700,Handgun                                 
20150109172501,"Personal Weapons (hands,feet,teeth,etc.)"
20150109173303,"Personal Weapons (hands,feet,teeth,etc.)"
20150109175905,Handgun                                 
20150109181902,"Personal Weapons (hands,feet,teeth,etc.)"
20150109191004,Knife                                   
20150109191004,"Personal Weapons (hands,feet,teeth,etc.)"
20150109192100,"Personal Weapons (hands,feet,teeth,etc.)"
20150109193701,"Personal Weapons (hands,feet,teeth,etc.)"
20150109210305,Handgun                                 
20150109210802,"Personal Weapons (hands,feet,teeth,etc.)"
20150109212503,"Personal Weapons (hands,feet,teeth,etc.)"
20150109213204,"Personal Weapons (hands,feet,teeth,etc.)"
20150109221301,Handgun                                 
20150109232005,Handgun                                 
20150109234201,"Personal Weapons (hands,feet,teeth,etc.)"
20150109235400,Knife                                   
20150110004303,"Personal Weapons (hands,feet,teeth,etc.)"
20150110022700,Handgun                                 
20150110023100,"Personal Weapons (hands,feet,teeth,etc.)"
20150110030801,"Personal Weapons (hands,feet,teeth,etc.)"
20150110040900,"Personal Weapons (hands,feet,teeth,etc.)"
20150110041101,"Personal Weapons (hands,feet,teeth,etc.)"
20150110054301,"Personal Weapons (hands,feet,teeth,etc.)"
20150110060700,"Personal Weapons (hands,feet,teeth,etc.)"
20150110063000,"Personal Weapons (hands,feet,teeth,etc.)"
20150110102100,"Personal Weapons (hands,feet,teeth,etc.)"
20150110111701,"Personal Weapons (hands,feet,teeth,etc.)"
20150110120402,"Personal Weapons (hands,feet,teeth,etc.)"
20150110132000,"Personal Weapons (hands,feet,teeth,etc.)"
20150110135901,"Personal Weapons (hands,feet,teeth,etc.)"
20150110135901,Handgun                                 
20150110141302,"Personal Weapons (hands,feet,teeth,etc.)"
20150110141605,Not Applicable/None                     
20150110164501,"Personal Weapons (hands,feet,teeth,etc.)"
20150110165802,"Personal Weapons (hands,feet,teeth,etc.)"
20150110180200,"Personal Weapons (hands,feet,teeth,etc.)"
20150110180302,"Personal Weapons (hands,feet,teeth,etc.)"
