Complaint_No,Vehicle_Year,Vechicle_Make,Vehicle_Model,Vehicle_Color,Vehicle_Body
20130113125601,2006,Other - Komatsu                                                       ,PC-35 MR-2                    ,Orange/Orange                                                         ,Front End Loader                                                      
20130113131501,2002,Oldsmobile                                                            ,ALERO                         ,Brown/Brown                                                           ,4-Door                                                                
20130113140902,2008,Other - Maseratti                                                     ,MASERATI QATTROPORTE          ,Black/Black                                                           ,4-Door                                                                
20130114040900,2006,Chrysler                                                              ,SEBRING                       ,Blue/Blue                                                             ,4-Door                                                                
20130114081202,1969,Oldsmobile                                                            ,CUTLASS S                     ,Black/Green                                                           ,2-Door                                                                
20130115052700,2003,Mercedes Benz                                                         ,ML320                         ,White/White                                                           ,Sport Utility Vehicle                                                 
20130115060200,1977,Dodge                                                                 ,ADVENTURE                     ,Black/Black                                                           ,Pick-up Truck                                                         
20130115080501,2006,Hyundai                                                               ,SONATA                        ,Gray/                                                                 ,4-Door                                                                
20130115081003,1996,Acura                                                                 ,INTEGRA                       ,Black/Black                                                           ,2-Door                                                                
20130115082601,1995,Honda                                                                 ,HONDA                         ,Green/Green                                                           ,4-Door                                                                
20130115100101,1996,Acura                                                                 ,INTEGRA                       ,Blue/Blue                                                             ,4-Door                                                                
20130115100704,2005,Hyundai                                                               ,SANTA FE                      ,Gray/Gray                                                             ,4-Door                                                                
20130115105305,1989,General Motors Corp.                                                  ,SILVERADO                     ,Burgundy/Gray                                                         ,Pick-up Truck                                                         
20130115112501,2006,Suzuki                                                                ,GSXR 1000                     ,Red/Black                                                             ,Motorcycle                                                            
20130115112501,1987,Suzuki                                                                ,GSXR 1100                     ,Red/Black                                                             ,Other - MOTORCYCLE                                                    
20130115125802,2007,Other - dicg                                                          ,DIAMOND                       ,Black/Silver                                                          ,Other - trailer                                                       
20130115171600,    ,Suzuki                                                                ,                              ,Yellow/Yellow                                                         ,Motorcycle                                                            
20130115212200,1999,Ford                                                                  ,RANGER                        ,White/White                                                           ,Pick-up Truck                                                         
20130116023900,2005,Dodge                                                                 ,NEON                          ,White/White                                                           ,4-Door                                                                
20130116073903,2002,BMW                                                                   ,325I                          ,Silver/Silver                                                         ,4-Door                                                                
20130116085301,2009,Other - APRILIA                                                       ,SPORT CITY 50                 ,Black/                                                                ,Moped                                                                 
20130116093401,2013,Kia Motors                                                            ,RIO                           ,White/White                                                           ,4-Door                                                                
20130116100503,1991,Honda                                                                 ,ACCORD                        ,White/White                                                           ,4-Door                                                                
20130116140500,1993,Honda                                                                 ,ACCORD                        ,Burgundy/Burgundy                                                     ,4-Door                                                                
20130116142400,    ,Cadillac                                                              ,SEVILLE                       ,Bronze/Bronze                                                         ,4-Door                                                                
20130116154401,2012,Ford                                                                  ,MUSTANG                       ,Red/Red                                                               ,2-Door                                                                
20130116160304,2002,General Motors Corp.                                                  ,YUKON                         ,White/White                                                           ,Sport Utility Vehicle                                                 
20130116161004,1996,Other - Riviera                                                       ,CRUI                          ,White/White                                                           ,Other - Boat                                                          
20130116173901,1998,Volvo                                                                 ,S70                           ,Green/Green                                                           ,4-Door                                                                
20130117084905,1992,Acura                                                                 ,INTEGRA RS                    ,White/White                                                           ,4-Door                                                                
20130117102100,2011,Chevrolet                                                             ,IMPALA                        ,Silver/Silver                                                         ,4-Door                                                                
20130117120801,2012,Cadillac                                                              ,SRX                           ,Brown/Brown                                                           ,4-Door                                                                
20130117144103,1992,Chevrolet                                                             ,G-30                          ,White/White                                                           ,Van                                                                   
20130117160500,2002,Ford                                                                  ,TAURUS                        ,Gold/Gold                                                             ,4-Door                                                                
20130117174500,2002,Lincoln                                                               ,LSE                           ,Black/Black                                                           ,4-Door                                                                
20130117185302,2005,Chevrolet                                                             ,TAHOE                         ,White/White                                                           ,4-Door                                                                
20130118070100,2006,Ford                                                                  ,DRW SUPER DUTY                ,White/White                                                           ,Pick-up Truck                                                         
20130118080301,2012,Ford                                                                  ,F150                          ,Black/Black                                                           ,Pick-up Truck                                                         
20130118084102,2007,Chrysler                                                              ,300,Black/Black                                                           ,4-Door                                                                
